id,question,optionA,optionB,optionC,optionD,answer
1,Apa simbol kimia untuk air?,H2O,CO2,O2,H2O2,A
2,Berapa banyak tulang pada tubuh manusia dewasa?,186,206,226,246,B
3,Apa nama zat yang mengangkut oksigen dalam darah?,Hemoglobin,Plasma,Leukosit,Trombosit,A
4,Kecepatan cahaya adalah?,100.000 km/detik,200.000 km/detik,300.000 km/detik,400.000 km/detik,C
5,Apa unit SI untuk gaya?,Joule,Newton,Watt,Pascal,B
6,Proses fotosintesis menghasilkan?,Oksigen dan air,Glukosa dan oksigen,Karbondioksida dan air,Nitrogen dan hidrogen,B
7,Apa nama organisme yang memakan tumbuhan?,Herbivora,Karnivora,Omnivora,Pemakan serangga,A
8,Titik lebur es pada skala Kelvin adalah?,0 K,273 K,273.15 K,373 K,C
9,Apa nama bagian tumbuhan yang menyerap air?,Daun,Batang,Akar,Bunga,C
10,Berapa kromosom yang dimiliki manusia?,22,23,46,48,C
11,Apa nama gas yang menyebabkan efek rumah kaca?,Nitrogen,Oksigen,Karbondioksida,Hidrogen,C
12,Berapa jumlah jenis asam amino?,15,20,25,30,B
13,Apa nama proses pemecahan makanan dalam tubuh?,Absorpsi,Pencernaan,Ekskresi,Respirasi,B
14,Apa nama kelenjar yang memproduksi insulin?,Tiroid,Pankreas,Adrenal,Pituitari,B
15,Berapa jumlah gigi pada manusia dewasa?,28,30,32,34,C
16,Apa nama fenomena di mana cahaya membelok memasuki medium berbeda?,Refleksi,Refraksi,Difraksi,Polarisasi,B
17,Apa nama partikel subatomik dengan muatan positif?,Elektron,Neutron,Proton,Kuark,C
18,Berapa banyak lapisan pada atmosfer bumi?,4,5,6,7,B
19,Apa nama proses di mana benda padat berubah langsung menjadi gas?,Peleburan,Penguapan,Sublimasi,Kondensasi,C
20,Apa nama jenis sel yang melawan infeksi dalam tubuh?,Sel darah merah,Sel darah putih,Platelet,Sel kulit,B
