id,question,optionA,optionB,optionC,optionD,answer
1,Siapa presiden pertama Indonesia?,Soekarno,Suharto,Habibie,Megawati,A
2,Ibukota Prancis adalah?,Lyon,Marseille,Paris,Nice,C
3,Berapa jumlah benua di dunia?,5,6,7,8,C
4,Siapa penemu bola lampu listrik?,Nikola Tesla,Thomas Edison,Benjamin Franklin,Albert Einstein,B
5,Mata uang Indonesia adalah?,Dolar,Rupiah,Ringgit,Bath,B
6,Planet terbesar di tata surya adalah?,Saturnus,Jupiter,Neptunus,Uranus,B
7,Negara dengan populasi terbesar di dunia adalah?,Indonesia,Amerika Serikat,India,China,C
8,Berapa banyak sisi pada kubus?,4,6,8,12,B
9,Siapa penulis novel 'Laskar Pelangi'?,Andrea Hirata,Pramoedya Ananta Toer,Sutan Sjahrir,Emha Ainun Nadjib,A
10,Lagu kebangsaan Indonesia adalah?,Indonesia Raya,Maju Tak Gentar,Garuda Pancasila,Dari Sabang Sampai Merauke,A
11,Berapa jumlah provinsi di Indonesia?,32,33,34,35,C
12,Laut yang terdalam di dunia adalah?,Laut Merah,Samudra Pasifik,Laut Baltik,Laut Utara,B
13,Gunung tertinggi di dunia adalah?,Kilimanjaro,Denali,Everest,Aconcagua,C
14,Simbol kimia untuk emas adalah?,Au,Ag,Al,Fe,A
15,Berapa banyak jari pada tangan manusia normal?,4,5,10,8,B
16,Warna apa yang dihasilkan dari campuran biru dan kuning?,Hijau,Orange,Ungu,Merah,A
17,Negara mana yang terletak di antara Pakistan dan Myanmar?,Afghanistan,Bangladesh,India,Nepal,C
18,Berapa jumlah hari dalam setahun?,363,364,365,366,C
19,Siapa pendiri perusahaan Apple?,Bill Gates,Steve Jobs,Mark Zuckerberg,Elon Musk,B
20,Berapa jumlah sisi pada persegi panjang?,2,3,4,5,C
